Tweet Date,User,Tweet
2022-12-09 20:33:47+00:00,Cristiano,"Há um Mundial que Portugal já ganhou: o dos adeptos! Incrível o apoio e o carinho que temos sentido de tantos portugueses (e não só!) aqui no Catar, tão longe da nossa pátria. Continuem a apoiar nos bons e nos maus momentos, tudo faremos para retribuir com vitórias! Força,🇵🇹🙏🏽 https://t.co/LKSTQ9W3FB"
2022-12-08 13:09:12+00:00,Cristiano,"Um grupo demasiado unido para ser quebrado por forças externas. Uma nação demasiado corajosa para se deixar atemorizar perante qualquer adversário. Uma equipa no verdadeiro sentido da palavra, que vai lutar pelo sonho até ao fim! Acreditem connosco! Força, Portugal!🇵🇹🙏🏽 https://t.co/gUeENXSB5F"
2022-12-04 18:17:56+00:00,Cristiano,🇵🇹🙏🏽💪🏽 https://t.co/JojzIfF3F4
2022-12-02 17:56:36+00:00,Cristiano,Primeiros dois objectivos alcançados: apuramento e liderança no nosso grupo. Mas há ainda muito mais pela frente! Vamos Portugal!🇵🇹❤️ https://t.co/8cUV7ti3x1
2022-12-01 17:39:01+00:00,Cristiano,O apuramento está garantido mas queremos também o 1.º lugar. Não há limites para esta equipa nem para os nossos objectivos. Vamos por mais! Força Portugal!🇵🇹🙏🏽 https://t.co/BeQFNW3GsR
2022-11-28 21:35:59+00:00,Cristiano,"Estamos nos oitavos do Mundial! Grande trabalho, equipa! Frente a um adversário de grande mérito, fizemos valer a nossa força e a nossa qualidade. Vamos em frente! Estamos na luta e o nosso sonho continua bem vivo! Força, Portugal! 💪🏽🇵🇹 https://t.co/VJWLFD1J8z"
2022-11-27 18:29:26+00:00,Cristiano,Unidos e focados. Rumo ao nosso objectivo.🇵🇹🙏🏽 https://t.co/MYEaxlener
2022-11-25 15:13:35+00:00,Cristiano,"Vitória muito importante na nossa estreia neste Mundial, mas nada está ganho! Foi apenas o primeiro passo! Seguimos focados na busca dos nossos objectivos. Força Portugal!🇵🇹🙏🏽💪🏽 https://t.co/SmaEEGwYsK"
2022-11-23 19:37:02+00:00,Cristiano,"Prestes a iniciarmos a nossa campanha na maior competição do Mundo. Uma aventura que desejamos longa e repleta de sucessos, de forma a elevarmos bem alto o nome e a bandeira do nosso país. Queremos encher todos os portugueses de orgulho e alegria. Não há impossíveis! Força 🇵🇹🙏🏽💪🏽 https://t.co/GhfbIM5UDo"
2022-11-22 20:18:13+00:00,Cristiano,https://t.co/OZJAW7HSJM
2022-11-22 09:00:01+00:00,Cristiano,"How many did you get right? Make sure you have the free @livescore app so you can follow all the action, stats and news!

https://t.co/4lzGWzX9Qf https://t.co/TPTh1CCbBT"
2022-11-20 16:00:02+00:00,Cristiano,"My first ever NFT collection is live now on @Binance. Don’t miss out! 
Sign up now with code RONALDO to explore the collection and get a free mystery box too.

Join me: 
https://t.co/CTz5dyJbTO https://t.co/e1pEmswVkS"
2022-11-20 15:43:28+00:00,Cristiano,"Boas energias, boas sensações, o mesmo empenho e a mesma concentração de que colocamos em cada desafio. Foco! Vontade! Crença! Seja onde for, Portugal, sempre!🇵🇹🙏🏽 https://t.co/tWgeKBRG3J"
2022-11-19 17:55:15+00:00,Cristiano,Victory is a State of Mind. A long tradition of crafting trunks photographed by @annieleibovitz for @LouisVuitton https://t.co/0TsieZP40P
