Tweet Date,User,Tweet
2022-12-29 06:37:11+00:00,fernandoharin,Delighted to welcome Red wings Airlines in to Matala Airport. The Boeing 777 landed this morning with over 350 passengers from Moscow. 2 flights a week will be operated in to matala with few more airlines also scheduled to operate to matala in the comming weeks https://t.co/3ojQU7NuwH
2022-12-12 10:24:12+00:00,fernandoharin,The first flight from @allianceair landed today in Jaffna after a period of two years. The CEO and COO of the airline were also on this important flight. I’m happy to have been there to welcome and the passengers. There will be 4 flights weekly. #visitsrilanka https://t.co/siqjGcWRhF
2022-12-11 05:10:50+00:00,fernandoharin,@HarshadeSilvaMP @sjbsrilanka All the best bro
2022-12-08 04:26:20+00:00,fernandoharin,New flight operation to begin at Jaffna Airport. https://t.co/gHCwXpOJkj
2022-12-07 07:42:40+00:00,fernandoharin,Met the Russian Ambassador to discuss matters pertaining to tourism and to streamline few issues faced by travelers and service providers.@RusEmbSriLanka https://t.co/KNx9gXbGEK
2022-12-04 07:08:08+00:00,fernandoharin,Azmara Passengers enjoying Colombo on city tours and excursions. Local handling was done by Aitken Spence and wish to thank them for the continuous support on behalf of reviving tourism in Sri Lanka. #visitsrilanka https://t.co/5YnjC5lgg5
2022-12-04 03:46:06+00:00,fernandoharin,"Azamara, previously known as Azamara Club Cruises is the perfect luxury cruise line for discerning travellers looking for the ultimate indulgence as they explore exotic locations across the globe. calls on CMB port and Hambanthota with 600 passengers and 400 crew. Total of 3 days https://t.co/YDhAB6QdkK"
2022-12-01 06:50:23+00:00,fernandoharin,Today onwards the FIFA zone in Negombo will come alive #visitsrilanka #FIFAWorldCupQatar2022 https://t.co/HwPRlGi7ei
2022-11-30 16:12:15+00:00,fernandoharin,Glad to see passengers from Mein Schiff 5 vessel enjoying the southern coast of SL. Especially to see them enjoying the spectacular wild life at the Yala National Park. #visitsrilanka https://t.co/jl56oYWSjB
2022-11-29 06:04:56+00:00,fernandoharin,The luxury cruise liner Mein Schiff 5 docked in the Colombo port today. Passengers onboard will explore Colombo and experience the city. The vessel will sail to Hambantota and the passengers will enjoy the southern coast of SL. #visitsrilanka https://t.co/4OyU84FOFv
