Tweet Date,User,Tweet
2022-12-30 14:18:18+00:00,ErikSolheim,"This is truly great news. 👍👍👍
My old friend, Green champion,  Marina Silva returns to Brazil’s 🇧🇷 environment ministry

Lula government has pledged to end deforestation of Amazon by end of decade.

Warm Congrats from all environmentalists , Marina!

https://t.co/7A5OAMl1qT https://t.co/IYNPnAG61p"
2022-12-30 13:38:01+00:00,ErikSolheim,"Wonderful! ❤️

Ice flowers on Songhua River in northeast China 🇨🇳. https://t.co/9x6z6zlDEi"
2022-12-30 11:01:01+00:00,ErikSolheim,"2022 has been a big year for green hydrogen. It seems like a lot has happened but in reality we are only just getting started.

Great summary of 2022 - and what lies ahead:

https://t.co/vwNTJx3GtU

@gh2org @jonasmoberg1 https://t.co/foZ33plSft"
2022-12-30 10:43:09+00:00,ErikSolheim,"I am humbled to receive the Pride of India 🇮🇳 award together with 75 outstanding Indians. Here is my short speech, heralding the enormous progress in India since independence and the opportunities for Indian leadership in the 21st century. https://t.co/EWGBVqW1xn"
2022-12-30 07:53:00+00:00,ErikSolheim,"Proud of my hometown!
Oslo , Noway 🇳🇴, is striving to become the world’s first emissions-free city by 2030.

 https://t.co/VJbswxKo80"
2022-12-30 06:44:30+00:00,ErikSolheim,"It took 10 years to build the most difficult railway in China 🇨🇳, and the Chengdu-Kunming railway opened this week. The length is 915km, which saves 12 hours compared with the old railway.

@MyChinaTrip 

 https://t.co/Ucj9zJKzDO"
2022-12-30 06:17:30+00:00,ErikSolheim,"The most important message as we ente 2023:
We are on course for the collapse of the liveable world. 
There is no time to wait. No more delays.

 https://t.co/3vZftT5oKL"
2022-12-30 05:29:01+00:00,ErikSolheim,"Join me as I speak at the ClimSci online conference 2023, 7th and 8th of January, filled with expert speakers and amazing activities! 

Register through: https://t.co/vY1gVuuOuC
Check out website https://t.co/GRrepbOW94!""

@AdityasForever https://t.co/JJTCAiZ0gx"
2022-12-30 02:22:00+00:00,ErikSolheim,"Bravo Bangladesh 🇧🇩!
First metro line opened in Dhaka this week.
New lines are planned. 

https://t.co/cKMEGD9JHZ https://t.co/UV7iePCVdF"
2022-12-30 01:40:00+00:00,ErikSolheim,"Could India 🇮🇳  be any more colourful and innovative?

This #3D illusion art by Chandan Kumar’s will blow your mind!

Watch to know more &gt;&gt; @chandanartacademy

 https://t.co/P4frKZ3Rpc"
2022-12-30 01:39:01+00:00,ErikSolheim,"One of the Greatest Freedom Fighters of India 🇮🇳
Bhagat Singh.
Great recognition  that Chandigarh airport this year was named after him. https://t.co/CpKbaxoK8r"
2022-12-30 01:32:30+00:00,ErikSolheim,"The British stole an estimated $45 trillion from India  🇮🇳 between 1765 and 1938.
 
Economist Utsa Patnaik explains how British colonizers drained India of its former wealth. Dont ever buy the lie that colonialism was good for India.

@ravikarkara

 https://t.co/SCJBLbNf01"
2022-12-29 18:02:08+00:00,ErikSolheim,"China 🇨🇳 leads the world in offshore wind power.

PowerChina 中国电建 starts construction of worlds largest floating wind project.

It is located 22 kilometers off the coast of beautiful Hainan.
Average water depth is 100 meters. 12 floating turbines.

https://t.co/8H5sqsmYRa https://t.co/ThijTyU0nc"
2022-12-29 11:19:25+00:00,ErikSolheim,"I am very honored to receive the Pride of India Award.
In company with 75 outstanding Indians. 🏆

Humbled to be recoqnized as an all weather friend of India 🇮🇳.
Inspired to support India in the years to come!

@gsaindia75expo @ravikarkara 

 https://t.co/NjUKO26NRq"
2022-12-29 07:49:30+00:00,ErikSolheim,"This is the secret behind Australia's 🇦🇺 massive beach clean-up. 

 https://t.co/CgohWrcMOu"
2022-12-29 06:42:00+00:00,ErikSolheim,"The Incredible Chinese 🇨🇳 highspeed rail!
Trains from Xi 'an to Chengdu across Qinling Mountains. The altitude here is 1594 meters. The highest elevation at the top of the mountain is 3771 meters.

@MyChinaTrip 

 https://t.co/Q2qe2roEjT"
2022-12-29 01:53:03+00:00,ErikSolheim,"One of the worlds most beautiful train rides!
The Colombo to Badulla railway in is so enchantingly beautiful that it's become a bucket list adventure for many visitors.
Its time for tourist to visit Sri Lanka 🇱🇰in 2023!

https://t.co/WXq65GPbfg https://t.co/2DQDrvph6x"
2022-12-29 01:39:00+00:00,ErikSolheim,"Home to 150+ dogs &amp; 20 cats, Care &amp; Compassion Welfare Organisation ( previously Lonny Tails) in Delhi 🇮🇳 provides medical attention to abandoned and injured pets.

If you would like to contribute, you can contact 9310558302.

 https://t.co/0Td597uAJ2"
