Tweet Date,User,Tweet
2022-12-29 08:15:39+00:00,jjstruthersuk,"My wife and I are enjoying our visit to Gomoa Fetteh, a fast developing coastal Town and growing tourist hub in the central region of Ghana. 

Its encouraging to see the huge economic potential of the area coming to fruition with more opportunities and expansion to follow. #Ghana https://t.co/KnVZE0QRbn"
2022-12-21 17:58:37+00:00,jjstruthersuk,@GlblCtznImpact @TedxAccra Wonderful to see @GlblCtzn supporting @TedxAccra
2022-12-21 08:44:30+00:00,jjstruthersuk,"Great news for Accra.
Congratulations to @p_ninson

https://t.co/YQ47dEanDu"
2022-12-19 11:30:21+00:00,jjstruthersuk,"A very interesting article highlighting the importance of diaspora remittances to the economies of Africa.

In 2021 estimates suggest that $4.5billion was remitted to Ghana fuelling economic development.

@TaptapSend @TedxAccra 
@DarrylMAbraham

https://t.co/yBLw8bp9jc"
2022-12-17 16:32:05+00:00,jjstruthersuk,"My wife and I had the pleasure of attending @TEDxAccra at the @UnivofGh. It was a remarkable event showcasing many of Ghana’s rising stars who are driving change and lasting impact on the continent. 

Many congratulations to all. 

#TEDxAccra #AgentsofChange https://t.co/qWK66PeOKm"
2022-12-14 10:28:37+00:00,jjstruthersuk,"My wife and I are en route to Ghana for a short break and to attend @TedxAccra

We are looking forward to hearing talks from these interesting speakers.

@aishaafua @deltitusbawuah
@jabarihall @Themailroom
@ancestorproject @_nanadanso_
@patrickfynn @preciousbonsu
@ElleLokko https://t.co/DBxSNC5cvu"
2022-12-10 07:38:56+00:00,jjstruthersuk,And more music from the brass band at yesterday's 22nd @MountKenyaUni Graduation Ceremony! @CAREED_UWS @UniWestScotland @UWS_SBCI https://t.co/i1gTNJx5EG
2022-12-10 07:34:04+00:00,jjstruthersuk,10 out of 10 from me. A vibrant performance from all the dancers at yesterday's @MountKenyaUni 22nd Graduation Ceremony. I suggest that we in the UK could learn from our Kenyan colleagues to make our graduation ceremonies less solemn and more joyful! @CAREED_UWS @UniWestScotland https://t.co/xrYInDdsYv
2022-12-10 07:28:02+00:00,jjstruthersuk,"The VC of Mount Kenya University  Prof Deogratius Jaganyi giving his address at yesterday's graduation in front of many thousands of graduands, friends and family members @MountKenyaUni @CAREED_UWS @UniWestScotland https://t.co/ALLyqyKXUJ"
2022-12-10 07:22:08+00:00,jjstruthersuk,"It was a pleasure to meet our Guest Speaker Hon Dr Peter Mathuki,Secretary General of the East African Community (EAC) who gave an inspiring address at the 22nd Graduation @MountKenyaUni @CAREED_UWS @UniWestScotland @UWS_SBCI https://t.co/m6qAKBGzSC https://t.co/MnZsSTqci1"
